2023-04-19T17:55:14.003Z info:     Fazendo rolagem...
2023-04-19T17:55:18.026Z info:     Fazendo rolagem...
2023-04-19T17:55:22.050Z info:     Fazendo rolagem...
2023-04-19T17:55:26.068Z info:     Fazendo rolagem...
2023-04-19T17:55:30.089Z info:     Fazendo rolagem...
2023-04-19T17:55:34.115Z info:     Fazendo rolagem...
2023-04-19T17:55:38.218Z info:     Fazendo rolagem...
2023-04-19T17:55:42.316Z info:     Fazendo rolagem...
2023-04-19T17:55:46.343Z info:     Fazendo rolagem...
2023-04-19T17:55:50.427Z info:     Fazendo rolagem...
2023-04-19T17:55:54.515Z info:     Fazendo rolagem...
2023-04-19T17:55:58.542Z info:     Fazendo rolagem...
2023-04-19T17:55:58.544Z info:     Rolagem finalizada!
2023-04-19T17:55:58.561Z info:     item: {"name_company":"Ideal Companny Contabilidade","endereco":"Escritório de contabilidade · 17, Av. Paulista, 726","website":"//www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj107SRwrb-AhWTC60GHaw8CKkYABAAGgJwdg&ohost=www.google.com&cid=CAASEuRop3NmHTDHTKY6tis4GPtC0w&sig=AOD64_2A6FHcC-YN_uqc07kNLEN-jIbYjA&adurl&rct=j&q&ctype=99","telefone":"19 3633-4646"}
2023-04-19T17:55:58.562Z info:     item: {"name_company":"D&D contabilidade - escritorio de contabilidade em São Paulo - SP","endereco":"Assessoria contábil · R. Líbero Badaró, 137 - 3° andar, Sala 35","website":"https://dedcontabilidade.com.br/","telefone":"11 99863-6698"}
2023-04-19T17:55:58.563Z info:     item: {"name_company":"Contabilizei Escritório de Contabilidade - Sede São Paulo","endereco":"Assessoria contábil · Av. Paulista, 1106 - 16º andar","horario":"Aberto ⋅ Fecha às 18:00","website":"https://www.contabilizei.com.br/?utm_source=google&utm_medium=organic&utm_campaign=GMBSaoPaulo"}
2023-04-19T17:55:58.563Z info:     item: {"name_company":"Ozai Contábil - Escritório de Contabilidade - São Paulo - SP","endereco":"Assessoria contábil · Rua Caramuru, 623","website":"https://www.ozai.com.br/","telefone":"11 5584-1032"}
2023-04-19T17:55:58.564Z info:     item: {"name_company":"Inserra | Gestão Contábil","endereco":"Assessoria contábil · Av. Prestes Maia, 241","website":"http://inserracontabilidade.com.br/","telefone":"11 3326-7667"}
2023-04-19T17:55:58.564Z info:     item: {"name_company":"Quero abrir empresa | Slit Contabilidade","endereco":"Assessoria contábil · Av. Pedro Severino Junior, 366 - CJ 111","website":"https://www.slitcontabil.com.br/","telefone":"11 2577-7257"}
2023-04-19T17:55:58.564Z info:     item: {"name_company":"AD PRIMUS CONTABILIDADE","endereco":"Assessoria contábil · R. Conselheiro Crispiniano, 139","website":"https://adprimuscontab.com.br/contato","telefone":"11 3255-8336"}
2023-04-19T17:55:58.565Z info:     item: {"name_company":"Contabilidade Contabiline São Paulo","endereco":"Assessoria contábil · Av. Paulista, 807 - 23º andar - Conj. 2315","website":"https://contabilidadeemsaopaulo.negocio.site/?utm_source=gmb&utm_medium=referral","telefone":"11 4614-7556"}
2023-04-19T17:55:58.565Z info:     item: {"name_company":"contabilidade.net","endereco":"Perito em contabilidade · Av. Ipiranga, 104 CONJ 161 ANDAR 16 Sl. 02","horario":"Aberto ⋅ Fecha às 18:00","website":"https://contabilidade.net/"}
2023-04-19T17:55:58.565Z info:     item: {"name_company":"CAPTA CONTABILIDADE - São Paulo - SP","endereco":"Assessoria contábil · Av. Paulista, 2444 - Cj.102","horario":"Aberto ⋅ Fecha às 18:00 · 4003-9049","website":"https://www.captacontadores.com/"}
2023-04-19T17:55:58.566Z info:     item: {"name_company":"Inova Contabilidade","endereco":"Assessoria contábil · R. Piauí, 399","website":"https://inovacontabilidade.srv.br/sobre-nos/","telefone":"43 3324-1192"}
2023-04-19T17:55:58.566Z info:     item: {"name_company":"BLN CONTABILIDADE - O Escritório de Contabilidade da Avenida Paulista","endereco":"Escritório de contabilidade · Av. Paulista, 491 - andar 1","website":"https://www.blncontabilidade.com.br/","telefone":"11 99943-3341"}
2023-04-19T17:55:58.566Z info:     item: {"name_company":"contabilidade.net","endereco":"Perito em contabilidade · R. Líbero Badaró, 101 - 12º andar Sl. 02","horario":"Aberto ⋅ Fecha às 18:00","website":"http://contabilidade.net/"}
2023-04-19T17:55:58.566Z info:     item: {"name_company":"CNC Assessoria Contábil S/S","endereco":"Serviço de escrituração contábil · R. Líbero Badaró, 293","website":"http://cnccontabil.com.br/","telefone":"11 3106-3020"}
2023-04-19T17:55:58.567Z info:     item: {"name_company":"Creare Contábil","endereco":"Assessoria contábil · Av. Paulista, n. 37","website":"http://crearecontabil.com.br/mei-agora-pode-parcelar-debitos-com-a-receita/","telefone":"11 97250-5016"}
2023-04-19T17:55:58.567Z info:     item: {"name_company":"P&S Contabilidade","endereco":"Assessoria contábil · R. João Adolfo, 118","website":"http://www.imapscontabil.com.br/contato.php","telefone":"11 3106-4058"}
2023-04-19T17:55:58.567Z info:     item: {"name_company":"Plenus Contabilidade e Assessoria","endereco":"Escritório de contabilidade · R. Quinze de Novembro, 200","website":"https://plenuscontabilidade.com.br/","telefone":"11 94749-8608"}
2023-04-19T17:55:58.567Z info:     item: {"name_company":"Toledo e Sona Contabilidade","endereco":"Assessoria contábil · Alameda Santos, 1343","website":"http://www.tescontabil.com.br/page003.html","telefone":"11 3263-0453"}
